patientID,firstName,lastName,phoneNumber,emailAddress,DOB
74243,Quinn,Duran,021-437-3663,sed.dictum@google.com,1981-06-10
21732,Raphael,Saunders,022-547-5202,euismod@hotmail.edu,1946-05-08
94197,Zena,Sherman,022-434-4208,metus.eu.erat@aol.org,1975-12-25
7584,Kermit,Adkins,262-6458,suspendisse.eleifend.cras@outlook.org,1930-12-12
85228,Ashely,Fry,021-351-9160,cubilia.curae@yahoo.edu,1928-11-28
42511,Bo,Boone,421-7647,lacus@google.org,1940-03-19
88011,Aline,Melton,021-303-0543,adipiscing.elit@hotmail.edu,1981-12-26
38069,Evan,Oliver,021-136-8386,ante@protonmail.org,1933-12-13
18781,Velma,Daugherty,021-249-6682,elit.a@yahoo.ca,1947-11-10
56058,Jack,Ryan,022-967-4358,proin@aol.net,1992-09-13
21364,Kylee,Williams,021-216-5581,scelerisque.mollis@icloud.org,1963-11-05
44011,Damon,Winters,131-3437,dui.semper.et@outlook.net,1998-02-21
64618,Denton,Collins,779-1193,phasellus@outlook.com,1994-09-15
76774,Jayme,Mclean,027-385-1829,donec.dignissim@outlook.org,1953-08-05
85554,Cody,Rosa,027-778-1185,consectetuer.rhoncus.nullam@yahoo.ca,1989-11-19
68653,Jamalia,Lucas,022-862-8122,mattis.cras.eget@icloud.org,1948-07-13
15223,Kennedy,Boone,027-851-2164,id@google.couk,2000-01-01
8733,Aphrodite,Mccoy,027-820-4457,facilisis.vitae@hotmail.ca,1944-11-19
63297,Hannah,Justice,027-491-3073,diam.proin.dolor@google.org,1987-10-21
20635,Chaim,Coffey,022-608-3245,nibh@aol.edu,1976-10-21
