workerID,firstName,lastName,phone,email,workingDays,shift
57192,Justine,Clements,027-432-2057,sagittis.semper@hotmail.net,mon-fri,day
89458,Regan,Oneil,021-759-2305,in.hendrerit.consectetuer@yahoo.org,fri-tue,day
24879,Blake,Monroe,021-567-7308,vestibulum.ante.ipsum@protonmail.edu,mon-fri,night
56373,Xavier,Clemons,021-647-8270,ornare.egestas@google.ca,fri-tue,night
30326,Xenos,Rosa,021-599-1487,nisl.maecenas.malesuada@outlook.net,thu-mon,day
3855,Kevin,Stout,022-748-4336,risus.in@protonmail.couk,thu-mon,day
34788,Madaline,Sykes,538-1394,mollis@hotmail.ca,mon-fri,night
45528,Frances,Nelson,226-3409,at@google.edu,fri-tue,night
76398,Rylee,Adams,027-510-4854,vel.quam@outlook.com,sat-wed,day
68859,Yolanda,Maddox,021-273-0382,non.leo@protonmail.edu,thu-mon,day
35438,Faith,Avila,021-971-1732,tortor.at.risus@google.com,wed-sun,night
45713,Robert,Sharpe,022-855-2496,lorem.ipsum.dolor@aol.net,tue-sat,night
73664,Selma,Brown,021-531-8507,morbi.non.sapien@protonmail.net,wed-sun,day
89353,Kasper,Sargent,477-5568,eu.elit@icloud.ca,sun-thu,day
70976,Cameron,Howard,215-6276,eget.volutpat.ornare@yahoo.ca,sun-thu,night
10322,David,Carey,021-561-3815,mauris.elit@protonmail.org,mon-fri,night
48261,Grant,Lancaster,027-777-9192,sed.nunc@google.ca,sun-thu,day
67053,Zoe,Sherman,426-0211,nec.tempus@outlook.edu,sun-thu,day
46843,Cairo,Chambers,022-425-0530,luctus@protonmail.ca,tue-sat,night
11385,Julian,Montoya,659-7422,lobortis@icloud.couk,wed-sun,night
